,address,business_dba,business_type,city,latitude,longitude,zip_code
397,724  E 23RD ST S,"FAMILY WRENCH, LLC",Auto Repair-Light,INDEPENDENCE,39.0791778564453,-94.40601348876949,64050
398,17911  E US 24 HWY,FANTASTIC SAM'S,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.1219711303711,-94.3653182983398,64056
399,17710  E SUSQUEHANNA RIDGE,FARVIEW VETERINARY HOSPITAL,Pet Services &/Or Products,INDEPENDENCE,39.120414733886705,-94.3676910400391,64056
400,17300  E US 24 HWY,FARVIEW 66 SERVICE,Auto Repair-Light,INDEPENDENCE,39.120025634765604,-94.3738861083984,64056
401,2100  S SWOPE DR,FOUNTAINS AT GREENBRIAR BEAUTY SLN,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.0801010131836,-94.3712615966797,64057
402,15600  E US 24 HWY,FREEDOM AUTO SALES,Auto/Truck Sales/Used,INDEPENDENCE,39.110542297363295,-94.3920516967773,64050
403,19709  E 15TH ST N,FRONTIER HOME IMPROVEMENT,Residential Remodel &/Or Repair,INDEPENDENCE,39.129386901855504,-94.3440780639648,64056
404,18400  E M 78 HWY,FRY ENTERPRISES,General Contractor,INDEPENDENCE,39.080623626709,-94.3593521118164,64057
405,1520  E 23RD ST S A,FUN HOUSE PIZZA DELIVERY & CARRYOUT,Food Delivery/Sales,INDEPENDENCE,39.0790138244629,-94.3932266235352,64050
406,1207  S POWELL RD,GARY'S FOUNDATION,Concrete/Asphalt/Stucco Work,INDEPENDENCE,39.0898208618164,-94.3286590576172,64057
407,1122  N ALLEN RD,GARY'S TRIM SERVICE,Lawn/Landscape/Tree Services,INDEPENDENCE,39.125785827636705,-94.39764404296879,64050
408,17844  E 23RD ST S  RM D-404,GENOA A QOL COMPANY LLC,Pharmacy,INDEPENDENCE,39.0791168212891,-94.37130737304692,64057
409,15615  E US 24 HWY,GILLENS STATUARY INC,Concrete Products/Precast Stone,INDEPENDENCE,39.1102066040039,-94.3902359008789,64050
410,19206  E PONCA DR,"GONZALEZ CONSTRUCTION, LLC",General Contractor,INDEPENDENCE,39.1194458007813,-94.3498306274414,64056
411,17306  E US 24 HWY,GOVERNMENT EMPLOYEES HOSPITAL ASSN,Insurance-Life/Health,INDEPENDENCE,39.1206512451172,-94.3735122680664,64056
412,16006  E 23RD ST S,GOVERNMENTOR SYSTEMS INC.,Computer Programming/Consulting,INDEPENDENCE,39.078685760498,-94.3876113891602,64055
413,2020  S M 291 HWY,GREAT BEGINNINGS PRE SCHOOL,Day Care/Preschool,INDEPENDENCE,39.081794738769496,-94.3795547485352,64057
414,1880  E MECHANIC AVE,GREEN THUMB LAWN SERVICE LLC,Lawn &/Or Garden Services,INDEPENDENCE,39.10292434692379,-94.3868255615234,64050
415,1041  S VISTA AVE,GRINDSTAFF ENGINES INC,Industrial Machinery/Equip Serv-Whsl,INDEPENDENCE,39.09397506713871,-94.3648452758789,64056
416,17004  E US 24 HWY,HAIR CARE FAMILY,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.119590759277294,-94.37612915039058,64056
417,1721  S AZTEC AVE,HALL RESOURCES CORP,Oil & Gas Exploration,INDEPENDENCE,39.0858879089355,-94.3477249145508,64057
418,1614  S HIGHLAND DR,HAMPTON TECHNOLOGY CO,Electronic Component-Design/Mfg/Sales,INDEPENDENCE,39.0900993347168,-94.3767623901367,64057
419,825  N DAKOTA DR  B,HENRICH'S U S TAE KWON DO,Instructional Courses/Services,INDEPENDENCE,39.1191825866699,-94.37326049804692,64056
420,19710  E 14TH ST N,HIGBEE TELECOM SERVICES,Communication Cabling/Install/Srv/Sales,INDEPENDENCE,39.128227233886705,-94.3439254760742,64056
421,1905  N HOWARD DR,HOUGH DRAPERY INC,Drapery Sales/Installation,INDEPENDENCE,39.1109619140625,-94.3961181640625,64050
422,15410  E US 24 HWY,HWY 24 CAR WASH,Car Wash,INDEPENDENCE,39.1068115234375,-94.3932266235352,64050
423,16208  E 23RD ST S,INDEPENDENCE AUDIO,Electronic Sales/Serv/Install,INDEPENDENCE,39.0784568786621,-94.3850860595703,64050
424,200  E 23RD ST S,INDEPENDENCE COMPLETE AUTO SER,Auto Repair & Clean Up,INDEPENDENCE,39.079437255859396,-94.4133987426758,64050
425,15707  E US 24 HWY,INDEPENDENCE SPECIALTY TOW INC,Tow Service/Tow Lot,INDEPENDENCE,39.1125335693359,-94.3895492553711,64050
426,301  S SUE ELLEN AVE,INDEPENDENCE STATION,Mobile Home Park,INDEPENDENCE,39.103420257568395,-94.3261260986328,64056
427,301  S SUE ELLEN AVE,INDEPENDENCE STATION,Mobile Home Sales/Service,INDEPENDENCE,39.103420257568395,-94.3261260986328,64056
428,718  N M 291 HWY,INDEPENDENCE U-STORAGE,Storage/Warehousing,INDEPENDENCE,39.1187133789063,-94.3873977661133,64050
429,727  S MOHICAN DR,"INDEPENDENT ARCHERY SALES, INC.",Sporting Goods/Supplies-Retail Sls,INDEPENDENCE,39.0959434509277,-94.3495407104492,64056
430,1720  S SWOPE DR,"INDEPENDENT RESIDENTIAL SERVICES, I",Residential Care Services,INDEPENDENCE,39.086097717285206,-94.3689346313477,64057
431,1600  N M 291 HWY  600,INTERNATIONAL PACKING & CRATING LLC,Packaging/Labeling Products,INDEPENDENCE,39.1319999694824,-94.3860015869141,64056
432,1520  E 23RD ST S  O-P,"INTIMATE DESIGNS, LTD.",Clothing - Retail Sales,INDEPENDENCE,39.0790138244629,-94.3932266235352,64050
433,620  S KISNER CIR,INTREPID ELECTRIC LLC,Electrical Contractor,INDEPENDENCE,39.0957679748535,-94.3484725952148,64056
434,16113  E COGAN LN,J & M ENTERPRISES,Residential Construction,INDEPENDENCE,39.1124610900879,-94.38470458984379,64050
435,1824  S LEES SUMMIT RD,J AND W ELECTRIC,Electrical Contractor,INDEPENDENCE,39.0842781066895,-94.39080810546879,64050
436,1001  S VISTA AVE,J C PLASTICS INC,Plastic Injection Molding,INDEPENDENCE,39.09458541870121,-94.3648147583008,64056
437,16509  E TRUMAN RD,"J HOWARD AUTOMOTIVE, LLC",Auto Repair-Light,INDEPENDENCE,39.090583801269496,-94.3826446533203,64057
438,18916  E HANTHORN DR,"JAMES A HOLLOWAY SERVICES, INC.",Heating &/Or Cooling Contractor,INDEPENDENCE,39.0891876220703,-94.3398895263672,64057
439,15812  E US 24 HWY,JERRY SHANNON'S BARBER SHOP,Barber Shop,INDEPENDENCE,39.11509323120121,-94.3888626098633,64050
440,1308  E US 24 HWY,JERRY'S FAMILY BARBER SHOP,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.103340148925795,-94.3980941772461,64050
441,18607  E ARROWHEAD PL,JONES MANAGEMENT GROUP INC.,Property Management Services,INDEPENDENCE,39.1256713867188,-94.35840606689449,64056
442,19710  E 14TH TERR N,JOSIE HOLLER,Child Care - 4 Or Less,INDEPENDENCE,39.1289291381836,-94.3437957763672,64056
443,25539  E BUNDSCHU RD,JACKSON COUNTY ELECTRICAL SERVICES,Electrical Contractor,INDEPENDENCE,39.1196632385254,-94.2747039794922,64016
444,602  E 23RD ST S,JIM SHOCKEY & ASSOCIATES,Engineer/Surveyor/Architect,INDEPENDENCE,39.079231262206996,-94.4077682495117,64050
445,602  E 23RD ST S,JIM SHOCKEY & ASSOCIATES,Engineer/Surveyor/Architect,INDEPENDENCE,39.079231262206996,-94.4077682495117,64050
446,602  E 23RD ST S,JIM SHOCKEY & ASSOCIATES,Engineer/Surveyor/Architect,INDEPENDENCE,39.079231262206996,-94.4077682495117,64050
447,704  N CLOVERDALE AVE,"JMH PEST MANAGEMENT,LLC",Pest Control/Disinfecting,INDEPENDENCE,39.1155853271484,-94.3427505493164,64056
448,1204  N SIOUX CT,"JR & BROTHERS HAULING, LLC",Hauling/Light General-No Route,INDEPENDENCE,39.1240348815918,-94.3495864868164,64056
449,17715  E TRUMAN RD,KAREN'S KUT & KURL,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.092353820800795,-94.3690338134766,64056
450,15801  E 3RD TERRACE CT S,KMALLETT LLC,Engineer/Surveyor/Architect,INDEPENDENCE,39.103935241699205,-94.38864135742192,64050
451,800  N REDWOOD DR,KURTZ CONTRACTING SERVICES,Painting &/Or Papering Contractor,INDEPENDENCE,39.11838912963871,-94.3695297241211,64056
452,15624  E US 24 HWY,KC METROPOLITAN LIBRARY & INFO NTWK,Library/Archives,INDEPENDENCE,39.1122398376465,-94.3911895751953,64050
453,910  N M 7 HWY,LAKE CITY U-STOR,Storage/Warehousing,INDEPENDENCE,39.116905212402294,-94.28356170654301,64056
454,711  N CHOCTAW AVE,LASKER MASONRY,Masonry/Stone Setting/Stucco,INDEPENDENCE,39.1153717041016,-94.36522674560551,64056
455,213  S SHRANK AVE,LAFONE'S FLOWERS/SILK CIRCUS,Crafts/Hobbies Retail Sales,INDEPENDENCE,39.1055335998535,-94.3754348754883,64056
456,16218  E US 24 HWY,LENDNATION,Loans-Short Term,INDEPENDENCE,39.11924362182621,-94.3834686279297,64056
457,2221  S M 291 HWY,LENDNATION,Loans-Short Term,INDEPENDENCE,39.0781402587891,-94.37875366210942,64057
458,301  N M 291 HWY,LITTLE RICHARD'S,Restaurant,INDEPENDENCE,39.110145568847706,-94.3812255859375,64056
459,1008  E US 24 HWY,"LONNIE'S TIRE SERVICE, INC.",Tire Sales &/Or Service,INDEPENDENCE,39.102729797363295,-94.40145874023442,64050
460,500  N M 7 HWY,LAN-TEL COMMUNICATIONS & UNDERGRND,Utility/Underground Contractor,INDEPENDENCE,39.109214782714794,-94.2841949462891,64056
461,1600  N M 291 HWY  110,LS CONSTRUCTION,Commercial Constr/Tenant Finish,INDEPENDENCE,39.1319999694824,-94.3860015869141,64056
462,1515  N DAVIS RD,"M V J REPAIRS,LLC",Appliance Repair/Parts,INDEPENDENCE,39.1287994384766,-94.3468170166016,64056
463,305  N KIGER RD,"MARTIN'S AUTO SALVAGE, LLC",Salvage Yard,INDEPENDENCE,39.0947608947754,-94.3960723876953,64050
464,1716  S BERRY RD,MASSAGE CONNECTION,Therapy Serv/Retail Sales-Commerical Loc,INDEPENDENCE,39.0882911682129,-94.37389373779301,64057
465,16400  E TRUMAN RD  G,"MCDERMOTT MOVING COMPANY, LLC",Moving & Delivery,INDEPENDENCE,39.094409942627,-94.3835067749023,64050
466,16235  E US 24 HWY,MCDONALD'S,Restaurant,INDEPENDENCE,39.1173057556152,-94.3826446533203,64056
467,1306  S POWELL RD,METAL SALES MANUFACTURING,Sheet Metal Fabrication,INDEPENDENCE,39.0878944396973,-94.33013916015629,64057
468,21212  E TRUMAN RD,MIDWEST DIRECTIONAL SERVICES,Heavy Equipment-Repair/Sales,INDEPENDENCE,39.091281890869105,-94.32949829101558,64056
469,16306  E 23RD ST S,MIKE'S CAR CARE CENTER,Auto Repair-Light,INDEPENDENCE,39.0784492492676,-94.38449096679692,64050
470,17301  E US 24 HWY,MINUTECLINIC #20201,Health Care Services,INDEPENDENCE,39.119602203369105,-94.3715667724609,64057
471,208  S LACY RD,MITCHELL BUILT,Carpentry/Framing/Floor Contractor,INDEPENDENCE,39.1040649414063,-94.3854446411133,64050
472,17003  E US 24 HWY  A,MR GOODCENTS,Restaurant,INDEPENDENCE,39.118690490722706,-94.37622833251949,64056
473,700  E 23RD ST S,MUGS-UP DRIVE IN,Restaurant,INDEPENDENCE,39.079193115234396,-94.4066009521484,64050
474,19809  E 17TH TERR N,MUSCULAR THERAPY CLINIC,Therapy Serv/Retail Sales-Commerical Loc,INDEPENDENCE,39.1333503723145,-94.34347534179692,64056
475,1010  S PEARL ST,MUSIC ARTS INSTITUTE,Community Fine Arts,INDEPENDENCE,39.080650329589794,-94.4111099243164,64050
476,912  N SEMINOLE CT,MICROMAN INDUSTRIES LLC,Lighting Sales or Service,INDEPENDENCE,39.1199073791504,-94.3581771850586,64056
477,917  N ALLEN RD,NEECE HEATING & COOLING,Heating &/Or Cooling Contractor,INDEPENDENCE,39.121513366699205,-94.39517211914058,64050
478,18510  E 6TH ST N,"NORTHLAND HOME CLEANING, LLC",Cleaning/Maintenance Service,INDEPENDENCE,39.1134757995605,-94.35882568359379,64056
479,19610  E 9TH TERR S,NORTHSTAR RESIDENTIAL CARE INC,Group Home,INDEPENDENCE,39.094165802002,-94.34713745117192,64056
480,16004  E 23RD ST S GAR,NATIONAL SPECIALTY CONTRACTING,Commercial/Residentl Remodel &/Or Repair,INDEPENDENCE,39.0786933898926,-94.3878555297852,64055
481,1704  E US 24 HWY,O'REILLY AUTOMOTIVE #112,Auto Parts-Retail Sales,INDEPENDENCE,39.105628967285206,-94.39398193359379,64050
482,1032  E 23RD ST S,"OLD MEXICO, INC.",Restaurant/Bar,INDEPENDENCE,39.078987121581996,-94.40026092529301,64050
483,920  E 23RD ST S,OTTO CAR WASH,Car Wash,INDEPENDENCE,39.0791778564453,-94.40328979492192,64050
484,16004  E 23RD ST S,PAPPY'S SALON,Barber Shop,INDEPENDENCE,39.0786933898926,-94.3878555297852,64055
485,16519  E TRUMAN RD,PHOENIX TRUCK LINES INC,Trucking,INDEPENDENCE,39.089599609375,-94.382568359375,64057
486,17303  E 6TH TERRACE CT N,PRAIRIE FLOWERS,Flower Arrangements,INDEPENDENCE,39.115020751953104,-94.37347412109379,64056
487,14916  E TRUMAN RD,"PARAMOUNT WOOD PRODUCTS, INC.",Cabinets/Countertops Custom Made,INDEPENDENCE,39.0944404602051,-94.40115356445308,64050
488,407  N DICKINSON RD,QUICK SNACK VENDING,Vending Company,INDEPENDENCE,39.111778259277294,-94.40233612060551,64050
489,14805  E TRUMAN RD,QUALITY AUTO BROKERS,Auto Repair/Body Work,INDEPENDENCE,39.092964172363295,-94.4046173095703,64050
490,15801  E US 24 HWY,R & K AUTO BODY LLC,Auto Body/Top Repair/Detail,INDEPENDENCE,39.106819152831996,-94.3917694091797,64050
491,1614  N BLUE MILLS RD,R D TAYLOR & ASSOCIATES,Commercial Equip Sls/Serv/Lease/Install,INDEPENDENCE,39.1322746276855,-94.3409194946289,64056
492,14914  E TRUMAN RD,RAINBOW INTERNATIONAL RESTORATION,Restoration Services,INDEPENDENCE,39.094596862793004,-94.40258026123051,64050
493,509  N JENNINGS RD,RANDALL CHILD & FAMILY LEARNING CNT,Child Care Center,INDEPENDENCE,39.112865447998,-94.3736801147461,64056
494,19141  E 14TH TERRACE DR,RANDALL'S GUTTERING OF MOKAN LLC,Roofing And/Or Guttering,INDEPENDENCE,39.1282501220703,-94.3524017333984,64056
495,1226  N KIGER RD,RAY WILLIAMS FOREIGN CAR SERVICE,Auto Repair-Light,INDEPENDENCE,39.103664398193395,-94.39722442626949,64050
496,15808  E T C LEA RD,RED VAN PROPERTIES,Residential Rehab/Resale,INDEPENDENCE,39.0988273620605,-94.3884658813477,64050
497,22000  E BUNDSCHU RD,REDWOOD FOREVER LLC,Property Management Services,INDEPENDENCE,39.121307373046896,-94.31786346435551,64056
498,22000  E BUNDSCHU RD,REDWOOD FOREVER LLC,Property Management Services,INDEPENDENCE,39.121307373046896,-94.31786346435551,64056
499,18909  E 12TH ST S,REFLECTIONS OF POLYNESIA,Entertainment/Rec Serv/Promoter/Planner,INDEPENDENCE,39.090827941894496,-94.3550262451172,64057
500,17701  E 17TH TERRACE CT S  4TH FLR,REGENCY MANOR HAIR SALON-CRAIG,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.086086273193395,-94.36963653564449,64057
501,1200  S POWELL RD  B,RIEADCO CORP.,Archery/Gaming Equip - Mfg,INDEPENDENCE,39.0903282165527,-94.3296585083008,64057
502,601  E KANSAS AVE,ROCK HARD CONSTRUCTION LLC,General Contractor,INDEPENDENCE,39.0904655456543,-94.4069671630859,64050
503,17000  E US 24 HWY  A,"RODENBERG DIVERSIFIED, LLC",Accounting/Bookeeping Srv,INDEPENDENCE,39.1193733215332,-94.3769683837891,64056
504,804  N CHOCTAW AVE,RON'S KETTLE KORN,Food/Specialized-Retail,INDEPENDENCE,39.117149353027294,-94.3639144897461,64056
505,804  N CHOCTAW AVE,RON'S KETTLE KORN,Food/Specialized-Retail,INDEPENDENCE,39.117149353027294,-94.3639144897461,64056
506,15632  E US 24 HWY,"RON'S ROOFING, INC.",Roofing And/Or Guttering,INDEPENDENCE,39.1130599975586,-94.39134979248051,64056
507,620  E LEXINGTON AVE,ROSEMARIE HARPER,Child Care - 4 Or Less,INDEPENDENCE,39.092109680175795,-94.40567016601558,64050
508,1301  S POWELL RD,S & L ELECTRIC INC.,Electrical Contractor,INDEPENDENCE,39.088405609130895,-94.3285064697266,64057
509,901  S YUMA AVE,"SAFETY-KLEEN SYSTEMS, INC.",Commercial Equip Sls/Serv/Lease/Install,INDEPENDENCE,39.0952491760254,-94.3622894287109,64056
510,1508  E 23RD ST S,SANTA FE SALES CO,Mail Order/Antique Trk Sales,INDEPENDENCE,39.0794219970703,-94.3949508666992,64050
511,15601  E US 24 HWY  A,"SCHATZ UNDERGROUND, INC.",Utility/Underground Contractor,INDEPENDENCE,39.1090507507324,-94.3906784057617,64050
512,712  S POPE AVE,SCHELP CONSTRUCTION,Residential Remodel &/Or Repair,INDEPENDENCE,39.084903717041,-94.4058456420898,64050
513,1901  S M 291 HWY,SCHORR TRANSMISSION AUTO & TRUCK SE,Auto Repair-Major/Specialized,INDEPENDENCE,39.084041595459,-94.3781509399414,64057
514,1901  S M 291 HWY,SCHORR TRANSMISSION AUTO & TRUCK SE,Auto Repair-Major/Specialized,INDEPENDENCE,39.084041595459,-94.3781509399414,64057
515,1032  S VISTA AVE,"SHAWHAN SHEET METAL, LLC",Sheet Metal Fabrication,INDEPENDENCE,39.0943641662598,-94.36597442626949,64056
516,714  N M 291 HWY,"SHEAR ""PURR""FECTION PET SPA",Pet Grooming/Classes,INDEPENDENCE,39.1169586181641,-94.3864059448242,64050
517,1111  E FREDERICK ST,SIBYL & RAY'S,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.099460601806605,-94.4000625610352,64050
518,16501  E TRUMAN RD  UNIT B,SIGNATURE MARKETING GROUP,Graphic Design/Commercial Art,INDEPENDENCE,39.090915679931605,-94.38400268554692,64050
519,561  N SIOUX AVE,SKIP,Marketing/Sales Or Research,INDEPENDENCE,39.1130828857422,-94.34848022460942,64056
520,16500  E TRUMAN RD,SMART WAREHOUSING,Warehouse & Distribution,INDEPENDENCE,39.094409942627,-94.3835067749023,64050
521,827  S HARKLESS AVE,SMITH COOLING AND HEATING LLC,Heating &/Or Cooling Repair & Services,INDEPENDENCE,39.0824394226074,-94.4006195068359,64050
522,19015  E RINGO CIR,SNELLING ENTERPRISES,Drafting Service,INDEPENDENCE,39.081512451171896,-94.3938674926758,64050
523,16909  E US 24 HWY,SONIC DRIVE IN-SUSQUEHANNA,Restaurant,INDEPENDENCE,39.118259429931605,-94.3771438598633,64056
524,1317  S POWELL RD,SPECIALTY PRODUCTS COMPANY,Wood Products-Mfg/Finishing,INDEPENDENCE,39.087860107421896,-94.3287353515625,64057
525,17523  E US 24 HWY,SPIRIT WORLD,Liquor Sales/Original Package,INDEPENDENCE,39.1201667785645,-94.37010955810551,64056
526,20404  E TRUMAN RD,SPRING BRANCH CHILD/FAM LEARNG CNTR,Child Care Center,INDEPENDENCE,39.092498779296896,-94.3374481201172,64056
527,1518  E 23RD ST S,STARBUCKS COFFEE #9654,Coffee/Tea Gourmet Retail Sls,INDEPENDENCE,39.079158782959,-94.3936614990234,64055
528,600  S M 291 HWY,STASI TOW,Tow Service (NO TOW LOT),INDEPENDENCE,39.101245880127,-94.38113403320308,64050
529,601  S M 291 HWY  #262,"STRAIGHTLINE MOTOR SPORTS, INC",Auto Repair-Major/Specialized,INDEPENDENCE,39.0979881286621,-94.37786865234379,64056
530,18001  E US 24 HWY,SUN FRESH,Grocery Store,INDEPENDENCE,39.1219711303711,-94.3653182983398,64057
531,16904  E 4TH ST S,SUPERIOR CLEANING SERVICE LLC,Cleaning/Maintenance Service,INDEPENDENCE,39.1034927368164,-94.3788070678711,64056
532,18200  E US 24 HWY,"SUSQUEHANNA AUTO CLINIC, INC.",Auto Service,INDEPENDENCE,39.1246566772461,-94.36273193359379,64056
533,17800  E SUSQUEHANNA RIDGE,SUSQUEHANNA BAPTIST CHURCH PRESCHL,Child Care Center,INDEPENDENCE,39.1203498840332,-94.3665008544922,64056
534,16903  E US 24 HWY,TACO BELL #21183,Restaurant,INDEPENDENCE,39.1181488037109,-94.37767791748051,64056
535,19920  E M 78 HWY,TED'S REFRIGERATION HTG & COOLING,Heating &/Or Cooling Repair & Services,INDEPENDENCE,39.0836639404297,-94.3438339233398,64057
536,1220  S BAKER DR,THE HERB LADY PLUS,Vitamin/Nutritional/Oils-Sales,INDEPENDENCE,39.0920066833496,-94.3960723876953,64050
537,17111  E 3RD ST N,THE OUTFITTERS GENERAL STORE,Internet Sales/Purchasing/Leasing,INDEPENDENCE,39.10939407348629,-94.3730926513672,64056
538,17111  E 3RD ST N,THE OUTFITTERS GENERAL STORE,Internet Sales/Purchasing/Leasing,INDEPENDENCE,39.10939407348629,-94.3730926513672,64056
539,1800  S SWOPE DR,THE REHABILITATION CENTER OF INDEP,Nursing Home/Assisted Living,INDEPENDENCE,39.085319519043004,-94.3702621459961,64057
540,17003  E US 24 HWY,"THE RESTORATION CONNECTION, LLC",Auto Repair-Light,INDEPENDENCE,39.118690490722706,-94.37622833251949,64056
541,732  S KISNER DR,THE SILVER CRAZE,Jewelry Sales/Design/Repair,INDEPENDENCE,39.09621047973629,-94.3485946655273,64056
542,429  S LESLIE AVE,THOMAS HART BENTON CHILD/FAM LRN CT,Child Care Center,INDEPENDENCE,39.087589263916,-94.4053726196289,64050
543,630  E 23RD ST S,"TIRE SERVICES, INC.",Auto Repair-Light & Tire Sales,INDEPENDENCE,39.079277038574205,-94.4072723388672,64050
544,1520  E 23RD ST S B,TOTAL ASPECTS SALON,Hair/Nail Salon (Business Owner),INDEPENDENCE,39.0790138244629,-94.3932266235352,64050
545,320  N FRANDSEN RD  BOX 55,TOWN & COUNTRY MOBILE VILLAGE,Mobile Home Park,INDEPENDENCE,39.0940551757813,-94.3939361572266,64050
546,2210  S M 291 HWY,TRACTOR SUPPLY CO.#420,General Merchandise Retail,INDEPENDENCE,39.0793952941895,-94.3803024291992,64050
547,2210  S M 291 HWY,TRACTOR SUPPLY CO.#420,General Merchandise Retail,INDEPENDENCE,39.0793952941895,-94.3803024291992,64050
548,21200  E TRUMAN RD,TRAILS WEST ARMS & SUPPLY CO,Firearms/Supplies/Gunsmth-Commercial Loc,INDEPENDENCE,39.0916633605957,-94.3302841186523,64057
549,22109  E OLD LEXINGTON RD,"TROLS CUSTOMS, INC",Internet Sales/Purchasing/Leasing,INDEPENDENCE,39.1336631774902,-94.3158416748047,64056
550,1000  S YUMA AVE,TRUCKING SOLUTIONS LLC,Hauling/Light General-No Route,INDEPENDENCE,39.0945587158203,-94.36380004882808,64056
551,15603  E 3RD STREET CT S,TWIST & CLICK,Crafts/Novelties Mfg & Sales,INDEPENDENCE,39.104774475097706,-94.3905258178711,64056
552,19700  E BUNDSCHU RD,VERN THOMPSON CONSTRUCTION,Residential Construction,INDEPENDENCE,39.1211585998535,-94.3434677124023,64056
553,1536  E 23RD ST S,WALGREENS #04224,Drug Store/Pharmacy,INDEPENDENCE,39.0790786743164,-94.3911895751953,64050
554,17811  E US 24 HWY,WALGREENS #05873,Drug Store/Pharmacy,INDEPENDENCE,39.12160110473629,-94.3668365478516,64056
555,908  N ATHERTON RD,WASH TIME 24 HR LAUNDRYMAT,Laundromat,INDEPENDENCE,39.1202545166016,-94.3749618530273,64056
556,1220  S POWELL RD,WATCO MANUFACTURING CO,Plumbing Fixture Fittings/Trim-Mfg,INDEPENDENCE,39.088951110839794,-94.3300552368164,64057
557,15544  E US 24 HWY,WESTERN MOTOR EXCHANGE & SALES,Auto Repair/Body Work,INDEPENDENCE,39.1097526550293,-94.39257049560551,64050
558,925  E US 24 HWY,WILD STALLION SALOON,Bar/Lounge,INDEPENDENCE,39.1020851135254,-94.4023284912109,64050
559,900  S YUMA AVE,WILLIAM RAGSDALE CO,Steel &/Or Alum Fab & Sls,INDEPENDENCE,39.0952491760254,-94.36376190185551,64056
560,910  N ATHERTON RD,WING LEE CHINESE RESTAURANT,Restaurant,INDEPENDENCE,39.1202545166016,-94.3749618530273,64056
561,17101  E KENTUCKY RD,WINTERSTONE GOLF COURSE,Golf Course/Country Club,INDEPENDENCE,39.1250114440918,-94.3787078857422,64056
562,1520  E 23RD ST S N,WORLD FINANCE CORPORATION,Loans-Long Term,INDEPENDENCE,39.0790138244629,-94.3932266235352,64050
563,715  N DICKINSON RD,WILSON BUILDING & REMODELING,Residential Remodel &/Or Repair,INDEPENDENCE,39.1178588867188,-94.40050506591801,640500000
564,600  E 23RD ST S A,1-HOUR TAX SVC,Tax Preparation Service,INDEPENDENCE,39.079231262206996,-94.4077682495117,64050
565,1701  E US 24 HWY,1972,Child Care w/Residential Living,INDEPENDENCE,39.1044044494629,-94.39403533935551,64050
566,16215  E US 24 HWY,24 & 291 MINI WAREHOUSE,Storage/Warehousing,INDEPENDENCE,39.116416931152294,-94.38330078125,64056
567,15396  E US 24 HWY,24 HIGHWAY SHELL,Convenience Store W/Gas Sales,INDEPENDENCE,39.1061592102051,-94.3934555053711,64050
568,16811  E 23RD ST S,AFFORDABLE LAUNDRY INDEPENDENCE LLC,Laundromat,INDEPENDENCE,39.0771484375,-94.3804168701172,64055
569,18801  E 39TH ST S 1331,DIAL N STYLE #1,General Merchandise Retail,INDEPENDENCE,39.045684814453104,-94.3576812744141,64057
570,18801  E 39TH ST S UL23,DIAL N STYLE #2,General Merchandise Retail,INDEPENDENCE,39.045684814453104,-94.3576812744141,64057
571,18801  E 39TH ST S 1313,DIAL N STYLE #3,General Merchandise Retail,INDEPENDENCE,39.045684814453104,-94.3576812744141,64057
572,2932  S TEPEE AVE,S.B.W. SALES,Office Only-In Residence,INDEPENDENCE,39.0645027160645,-94.3560562133789,64055
573,16104  E 31ST TERR S,STEPHANIE CRAFTS,Crafts/Hobbies Retail Sales,INDEPENDENCE,39.0626831054688,-94.38976287841801,64055
574,2534  S QUEEN RIDGE DR,A-1 TINY TOTS SITTING SERVICE,Child Care Serv at Hotels or Prvt Hshld,INDEPENDENCE,39.072727203369105,-94.38388061523442,64055
575,17503  E R D MIZE RD,ADAMS WELDING,Welding - Mobile Service,INDEPENDENCE,39.071907043456996,-94.37012481689449,64057
576,17503  E R D MIZE RD,ADAMS WELDING,Welding - Mobile Service,INDEPENDENCE,39.071907043456996,-94.37012481689449,64057
577,16611  E 23RD ST S,ADVANCE AUTO PARTS #5038,Auto Parts-Retail Sales,INDEPENDENCE,39.0763092041016,-94.38235473632808,64055
578,2200  S CRENSHAW RD,ALBONEE' COUNTRY INN & VINEYARDS,Winery,INDEPENDENCE,39.0772132873535,-94.31295776367192,64057
579,2200  S CRENSHAW RD,ALBONEE' COUNTRY INN AND VINEYARDS,Bed & Breakfast,INDEPENDENCE,39.0772132873535,-94.31295776367192,64057
580,16007  E 23RD ST S,ALDI INC #58,Grocery Store,INDEPENDENCE,39.0767822265625,-94.3880157470703,64050
581,19321  E US 40 HWY  H,ALISSA'S FLOWERS,Flowers/Plants-Fresh Retail,INDEPENDENCE,39.0293006896973,-94.3552780151367,64055
582,18675  E 39TH ST S O,ALL POINTS TRAVEL INC,Travel Agency/Agent,INDEPENDENCE,39.0471649169922,-94.3619613647461,64057
583,2412  S R D MIZE RD,ALLURE HAIR STUDIO,Nail/Hair-Mobile Services Only,INDEPENDENCE,39.074878692627,-94.3774642944336,64057
584,18801  E 39TH ST S 1148,AMERICAN EAGLE OUTFITTERS #254,Clothing - Retail Sales,INDEPENDENCE,39.045684814453104,-94.3576812744141,64057
